ap ,id    ,date    ,hjd          ,ra       ,dec      ,v     ,bv    ,teff  ,feh   ,feh_err,logg  ,logg_err,vsini ,vsini_err,rv        ,rve    ,fwhm      ,ccph  ,instr 
97,10001,20101120,2455520.99097,5.884347,32.755035,14.962,0.83,5878,-0.192,0.056,4.458,0.093,1.19,0.69,-30.716,0.218,10.5933,0.9068,chelle
97,10001,20110408,2455659.67921,5.884347,32.755035,14.962,0.83,5878,-0.487,0.064,4.722,0.146,-0.06,0.04,-30.489,0.977,11.39,0.6693,chelle
26,10002,20080320,2454545.62173,88.211319,32.742325,15,0.77,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,7.7905,2.895,95.02,0.52,hydraN
60,10002,20080323,2454548.61608,88.211319,32.742325,15,0.77,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,14.167,8.228,159.07,0.56,hydraN
26,10002,20081012,2454751.98724,88.211319,32.742325,15,0.77,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,14.335,204.846,1453.26,0.56,hydraN
11,10002,20090107,2454838.62195,88.211319,32.742325,15,0.77,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,17.3233,12.719,96.6,0.47,hydraN
74,10002,20101130,2455531.00933,5.880754,32.74233,15,0.77,6109,-0.991,0.012,4.262,0.044,97.51,0.34,12.4397,8.788,79.9,0.6582,chelle
85,10002,20101225,2455555.74286,88.211319,32.742325,15,0.77,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,13.336,39.46,244.56,0.44,hydraN
45,10002,20120131,2455957.75165,88.211319,32.742325,15,0.77,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,9.2829,9.555,124.18,0.57,hydraN
62,10002,20121210,2456271.89222,88.211319,32.742325,15,0.77,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,19.9591,9.825,147.43,0.59,hydraN
62,10002,20130119,2456311.80951,88.211319,32.742325,15,0.77,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,14.4954,14.502,330.15,0.63,hydraN
15,10002,20140111,2456668.6731,88.211319,32.742325,15,0.77,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,13.5681,8.924,226.83,0.59,hydraN
15,10002,20140208,2456696.62424,88.211319,32.742325,15,0.77,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,12.1056,6.351,181.86,0.63,hydraN
15,10002,20140220,2456708.78003,88.211319,32.742325,15,0.77,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,12.9142,4.455,191.63,0.69,hydraN
43,10002,20150205,2457058.82018,88.211319,32.742325,15,0.77,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,11.4739,3.864,154.92,0.65,hydraN
77,10004,20080321,2454546.61952,88.227119,32.747864,15.092,0.705,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,2.6301,1.329,40.02,0.73,hydraN
30,10004,20080323,2454548.61608,88.227119,32.747864,15.092,0.705,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-49.2274,1.807,31.76,0.63,hydraN
51,10004,20090114,2454845.62542,88.227119,32.747864,15.092,0.705,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,3.3817,0.809,20.91,0.64,hydraN
85,10004,20090312,2454902.74044,88.227119,32.747864,15.092,0.705,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,50.3838,3.085,32.74,0.32,hydraN
43,10004,20091226,2455191.69619,88.227119,32.747864,15.092,0.705,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,3.2196,0.577,34.84,0.87,hydraN
43,10004,20100105,2455201.66881,88.227119,32.747864,15.092,0.705,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,47.9568,1.626,32.47,0.72,hydraN
58,10004,20100305,2455260.76182,5.881808,32.747864,15.09,0.7,6401,-0.3,0.049,4.028,0.136,6.7,0.2,28.775,0.568,10.04,0.6834,chelle
97,10004,20100306,2455261.70111,5.881808,32.747864,15.09,0.7,6401,-0.534,0.067,3.348,0.123,6.04,0.08,52.419,0.562,9.33,0.6644,chelle
211,10004,20101119,2455519.80379,5.881808,32.747865,15.092,0.705,6379,-0.325,0.044,4.239,0.057,5.12,0.58,36.478,0.636,10,0.6778,chelle
85,10004,20101224,2455554.75388,88.227119,32.747864,15.092,0.705,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,4.7674,0.407,40.02,0.91,hydraN
62,10004,20101226,2455556.76196,88.227119,32.747864,15.092,0.705,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-45.4454,1.132,32.67,0.72,hydraN
85,10004,20110218,2455610.69602,88.227119,32.747864,15.092,0.705,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,4.5959,0.509,38.95,0.88,hydraN
85,10004,20110318,2455638.6426,88.227119,32.747864,15.092,0.705,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,54.4075,1.51,33,0.71,hydraN
62,10004,20110319,2455639.66024,88.227119,32.747864,15.092,0.705,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,29.8049,1.079,26.75,0.73,hydraN
62,10004,20120106,2455932.7396,88.227119,32.747864,15.092,0.705,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-44.9024,5.663,33.53,0.38,hydraN
85,10004,20120201,2455958.76095,88.227119,32.747864,15.092,0.705,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-45.9069,1.737,33.45,0.6,hydraN
85,10004,20120308,2455994.64976,88.227119,32.747864,15.092,0.705,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-2.2144,23.612,691.06,0.63,hydraN
226,10005,20101119,2455519.80379,5.883804,32.723865,15.321,0.925,5546,-0.2,0.06,5.036,0.054,2.15,0.4,-51.931,0.399,14.905,0.8944,chelle
62,10008,20080201,2454497.66736,88.270134,32.750088,15.536,0.72,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-286.6274,5.773,24.25,0.09,hydraN
120,10008,20080228,2454524.68765,5.884676,32.750084,15.536,0.72,6315,-0.835,0.062,2.074,0.145,15.77,0.03,23.828,1.223,14.38,0.5624,chelle
120,10008,20080301,2454526.70915,5.884676,32.750084,15.536,0.72,6315,-0.641,0.067,3.215,0.111,17.25,0,23.937,0.883,15.88,0.7836,chelle
43,10008,20080320,2454545.62173,88.270134,32.750088,15.536,0.72,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,22.1284,1.346,34.74,0.63,hydraN
26,10008,20080322,2454547.62171,88.270134,32.750088,15.536,0.72,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,22.4732,1.109,36.32,0.69,hydraN
210,10008,20081026,2454765.83086,5.884676,32.750084,15.536,0.72,6315,-0.539,0.069,3.278,0.114,16.75,0,23.697,0.629,15.695,0.8868,chelle
203,10008,20081108,2454778.78542,5.884676,32.750084,15.536,0.72,6315,-0.519,0.069,3.482,0.105,16.5,0,23.2836,0.531,15.82,0.9022,chelle
12,10008,20090113,2454844.64143,88.270134,32.750088,15.536,0.72,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,24.539,0.963,26.03,0.53,hydraN
66,10008,20120131,2455957.75165,88.270134,32.750088,15.536,0.72,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,23.8366,1.303,41.76,0.74,hydraN
45,10008,20130120,2456312.82664,88.270134,32.750088,15.536,0.72,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,23.8439,1.181,39.3,0.83,hydraN
115,10010,20080302,2454527.68799,5.886232,32.739464,15.773,0.756,6165,-0.657,0.062,3.76,0.114,7.81,0.09,59.917,0.434,11.17,0.8153,chelle
43,10010,20080321,2454546.61952,88.29348,32.739468,15.773,0.756,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,58.6645,1.093,30.38,0.64,hydraN
201,10010,20081026,2454765.83086,5.886232,32.739464,15.773,0.756,6165,-0.666,0.061,3.867,0.111,5.31,0.04,60.127,0.259,10.2,0.9019,chelle
51,10010,20090107,2454838.62195,88.29348,32.739468,15.773,0.756,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,60.3273,2.592,28.11,0.67,hydraN
38,10010,20090312,2454902.74044,88.29348,32.739468,15.773,0.756,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,51.808,14.181,52.05,0.22,hydraN
85,10012,20080320,2454545.62173,88.300598,32.7439,15.959,0.766,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,44.2238,1.279,34.55,0.57,hydraN
85,10012,20081012,2454751.98724,88.300598,32.7439,15.959,0.766,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,45.7942,2.315,32.55,0.62,hydraN
201,10012,20081022,2454761.82812,5.886707,32.743904,15.959,0.766,6125,-0.637,0.064,3.709,0.088,6.96,0.2,45.8881,0.299,10.12,0.8872,chelle
81,10012,20081026,2454765.98197,5.886707,32.743904,15.959,0.766,6125,-0.566,0.064,3.676,0.116,6.16,0.1,45.806,0.247,9.98,0.8966,chelle
96,10012,20081124,2454794.94126,5.886707,32.743904,15.959,0.766,6125,-0.586,0.064,3.713,0.112,6.1,0.19,45.716,0.229,9.99,0.9074,chelle
73,10012,20090113,2454844.64143,88.300598,32.7439,15.959,0.766,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,45.6459,0.737,22.06,0.56,hydraN
117,10015,20080228,2454524.68765,5.885729,32.741863,16.056,0.773,6097,-0.485,0.078,4.04,0.097,16.03,0.02,27.219,2.203,16.74,0.5017,chelle
117,10015,20080301,2454526.70915,5.885729,32.741863,16.056,0.773,6097,-0.644,0.059,4.284,0.09,16.57,0.09,28.544,1.533,17.46,0.682,chelle
62,10015,20080320,2454545.62173,88.285934,32.741859,16.056,0.773,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,27.0212,2.526,36.92,0.56,hydraN
62,10015,20081012,2454751.98724,88.285934,32.741859,16.056,0.773,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,28.4412,5.741,45.13,0.55,hydraN
57,10015,20090116,2454847.69614,88.285934,32.741859,16.056,0.773,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,26.6916,1.042,29.58,0.51,hydraN
82,10015,20090213,2454875.69127,5.885729,32.741863,16.056,0.773,6097,-0.513,0.068,4.142,0.098,16.93,0.09,27.782,0.613,17.88,0.8858,chelle
38,10015,20130119,2456311.70071,88.285934,32.741859,16.056,0.773,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,27.6874,1.335,38.58,0.8,hydraN
85,10015,20141006,2456936.95638,88.285934,32.741859,16.056,0.773,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,29.827,2.737,34.92,0.27,hydraN
85,10015,20150205,2457058.70573,88.285934,32.741859,16.056,0.773,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,27.8537,1.839,45.28,0.79,hydraN
38,10015,20150309,2457090.6866,88.285934,32.741859,16.056,0.773,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,27.508,1.477,42.93,0.77,hydraN
224,10016,20101119,2455519.80379,5.882633,32.721705,16.186,0.772,6101,-0.449,0.072,4.378,0.089,3.96,0.23,73.278,0.27,10.89,0.8851,chelle
113,10017,20080224,2454520.70357,5.886885,32.740231,16.355,0.865,5752,-0.38,0.064,4.11,0.118,3,0.12,17.973,0.473,10.66,0.8057,chelle
23,10017,20080322,2454547.62171,88.303276,32.740231,16.355,0.865,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,16.5864,1.713,30.89,0.53,hydraN
18,10017,20090115,2454846.70022,88.303276,32.740231,16.355,0.865,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,7.2677,1.089,9.99,0.18,hydraN
45,10017,20090213,2454875.74666,88.303276,32.740231,16.355,0.865,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,22.6678,6.216,101.81,0.39,hydraN
45,10017,20091226,2455191.69619,88.303276,32.740231,16.355,0.865,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,17.9344,1.244,47.25,0.8,hydraN
45,10017,20100304,2455259.65699,88.303276,32.740231,16.355,0.865,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,17.284,1.581,48.02,0.77,hydraN
189,10017,20101007,2455476.95385,5.886885,32.74023,16.355,0.865,5752,-0.38,0.07,4.13,0.11,18,0.1,17.737,0.839,21.46,0.8638,chelle
64,10018,20101119,2455519.91915,5.885459,32.75058,16.453,0.821,5912,-1.085,0.053,2.652,0.076,46.63,0.11,49.036,3.263,37.44,0.7787,chelle
207,10021,20081123,2454793.80209,5.882697,32.746666,16.792,1.118,4974,-0.224,0.083,3.979,0.209,0.64,0.5,-7.512,0.554,12.06,0.7902,chelle
115,10022,20080224,2454520.70357,5.884707,32.721001,16.817,0.989,5343,-0.219,0.066,4.08,0.145,0.12,0.17,9.088,0.526,10.88,0.8009,chelle
214,10022,20081123,2454793.80209,5.884707,32.721001,16.817,0.989,5343,-0.24,0.077,4.289,0.126,-0.18,0.31,9.099,0.493,11.79,0.7786,chelle
204,10024,20081026,2454765.83086,5.882272,32.758877,16.753,0.904,5617,-0.542,0.076,3.875,0.12,5.66,0.06,6.273,0.382,11.13,0.8282,chelle
89,10024,20081123,2454793.91468,5.882272,32.758877,16.753,0.904,5617,-0.742,0.068,4.204,0.124,2.42,1.08,6.413,0.589,11.03,0.7425,chelle
115,10025,20080225,2454521.73659,5.88535,32.729912,16.844,0.919,5566,-0.537,0.062,3.929,0.147,3.96,0.79,15.381,0.994,10.57,0.5369,chelle
203,10025,20081023,2454762.86746,5.88535,32.729912,16.844,0.919,5566,-0.51,0.072,4.183,0.121,3.16,0.57,15.293,0.333,11.19,0.8669,chelle
94,10025,20081124,2454794.94126,5.88535,32.729912,16.844,0.919,5566,-0.49,0.072,4.269,0.108,2.04,0.15,15.232,0.303,10.88,0.8734,chelle
114,10030,20080224,2454520.70357,5.881058,32.728741,17.238,1.15,4890,-0.168,0.104,3.774,0.199,0.44,0.64,-27.099,0.946,9.83,0.5186,chelle
204,10030,20081022,2454761.82812,5.881058,32.728741,17.238,1.15,4890,-0.13,0.075,3.998,0.222,0.4,0.47,-26.9809,0.619,13.56,0.8208,chelle
84,10030,20081026,2454765.98197,5.881058,32.728741,17.238,1.15,4890,-0.086,0.08,3.953,0.223,0.04,0.17,-27.521,0.579,12.27,0.8248,chelle
209,10030,20081123,2454793.80209,5.881058,32.728741,17.238,1.15,4890,-0.064,0.065,3.909,0.224,2.82,0.79,-27.688,0.745,12.75,0.7172,chelle
79,10030,20090213,2454875.69127,5.881058,32.728741,17.238,1.15,4890,-0.113,0.079,3.957,0.22,0.08,0.33,-27.329,0.599,12.26,0.8265,chelle
214,10033,20081125,2454795.68654,5.885617,32.73246,17.44,1.188,4794,-0.572,0.096,3.988,0.173,-0.23,0.47,-1.443,1.141,15.68,0.6161,chelle
188,10033,20101007,2455476.95385,5.885617,32.73246,17.44,1.188,4794,-0.36,0.099,4.144,0.182,0.49,0.08,-13.951,0.747,14.39,0.7733,chelle
116,10036,20080302,2454527.68799,5.882043,32.735836,17.338,1.014,5267,0.5,0,5,0,200,0,171.178,92.808,378.56,0.4333,chelle
208,10036,20081023,2454762.86746,5.882043,32.735836,17.338,1.014,5267,-0.267,0.066,4.25,0.147,0.5,0.08,-42.639,0.508,12.61,0.8367,chelle
210,10036,20081125,2454795.68654,5.882043,32.735836,17.338,1.014,5267,-0.238,0.062,4.291,0.153,2.43,0.38,-42.462,0.799,11.05,0.5961,chelle
114,10037,20080225,2454521.73659,5.882461,32.755051,17.518,1.135,4929,-0.823,0.043,4.189,0.216,0.61,0.62,-9.243,1.994,12.13,0.3299,chelle
206,10037,20081023,2454762.86746,5.882461,32.755051,17.518,1.135,4929,-0.186,0.083,4.138,0.214,0.35,0.69,-9.33,0.533,12.59,0.8159,chelle
111,10046,20080228,2454524.68765,5.887532,32.731365,17.841,1.179,4816,-0.429,0.064,3.553,0.261,-0.2,0.17,5.713,2.211,8.98,0.2346,chelle
111,10046,20080301,2454526.70915,5.887532,32.731365,17.841,1.179,4816,-0.133,0.057,3.655,0.242,0.12,0.16,6.058,1.224,9.595,0.4336,chelle
214,10046,20081024,2454764.85411,5.887532,32.731365,17.841,1.179,4816,-0.281,0.098,3.992,0.21,0.43,0.07,5.576,0.816,14.29,0.7453,chelle
214,10046,20081025,2454764.85411,5.887532,32.731365,17.841,1.179,4816,-0.281,0.098,3.992,0.21,0.43,0.07,5.601,0.816,14.29,0.7453,chelle
99,10046,20081124,2454794.94126,5.887532,32.731365,17.841,1.179,4816,-0.264,0.091,3.893,0.226,-0.13,0.22,5.406,0.837,13.62,0.7833,chelle
86,10046,20090214,2454876.6958,5.887532,32.731365,17.841,1.179,4816,-0.309,0.084,3.833,0.242,-0.25,0.22,5.453,0.803,11.7633,0.7553,chelle
214,10050,20081108,2454778.78542,5.884999,32.731258,17.979,1.319,4489,0.004,0.155,3.31,0.202,0.05,0.49,-7.47665,0.969,14.35,0.7075,chelle
62,10050,20100305,2455260.76182,5.884999,32.731258,17.979,1.319,4489,-0.137,0.066,3.415,0.252,0.01,0.11,-7.4,1.317,10.815,0.5535,chelle
55,10054,20101119,2455519.91915,5.880517,32.749185,18.369,1.164,4854,-0.248,0.067,4.097,0.203,0.05,0.28,7.027,1.105,12.16,0.6379,chelle
229,10085,20101119,2455519.80379,5.88591,32.732415,18.968,1.251,4642,-0.831,0.103,3.446,0.285,17.61,0.1,23.683,2.137,23.54,0.6529,chelle
15,10122,20080320,2454545.62173,88.236717,32.756233,14.519,0.664,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-12.7621,0.679,51.56,0.84,hydraN
51,10122,20090108,2454839.62128,88.236717,32.756233,14.519,0.664,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-11.6978,9.532,48.29,0.56,hydraN
43,10122,20090314,2454904.66208,88.236717,32.756233,14.519,0.664,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-11.2756,2.73,50.02,0.82,hydraN
85,10122,20091227,2455192.81748,88.236717,32.756233,14.519,0.664,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-11.0379,0.754,50.75,0.9,hydraN
23,10122,20131223,2456649.75103,88.236717,32.756233,14.519,0.664,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-10.6451,0.64,51.47,0.91,hydraN
62,10122,20140216,2456704.62335,88.236717,32.756233,14.519,0.664,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-10.4957,0.829,50.9,0.84,hydraN
43,10122,20150209,2457062.71272,88.236717,32.756233,14.519,0.664,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-11.1679,0.702,51.85,0.9,hydraN
103,10681,20080224,2454520.70357,5.882393,32.760796,16.242,0.848,5813,-0.641,0.066,4.405,0.089,0,0,35.637,0.639,10.1,0.6961,chelle
30,10681,20080322,2454547.62171,88.235901,32.760799,16.242,0.848,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,36.1441,2.319,35.06,0.65,hydraN
15,10681,20081012,2454751.98724,88.235901,32.760799,16.242,0.848,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,35.8168,0.745,35.7,0.83,hydraN
89,10681,20081124,2454794.94126,5.882393,32.760796,16.242,0.848,5813,-0.448,0.069,4.346,0.086,0.17,0.6,35.739,0.28,11.125,0.905,chelle
62,10681,20140216,2456704.76214,88.235901,32.760799,16.242,0.848,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,36.1046,1.515,36.52,0.65,hydraN
105,10698,20080302,2454527.68799,5.881213,32.761307,16.937,1.014,5267,-0.962,0.089,4.829,0.14,33.72,0.35,-28.564,6.072,43.39,0.4684,chelle
202,10698,20081026,2454765.83086,5.881213,32.761307,16.937,1.014,5267,-1.054,0.253,5.016,0.072,143.95,19.64,-17.591,10.159,128.49,0.6102,chelle
81,10720,20100131,2455227.8501,5.880593,32.724571,11.758,1.382,4596,-0.228,0.098,2.019,0.302,4.51,0.28,9.1152,0.252,9.94,0.9069,chelle
196,10720,20110207,2455599.61531,5.880593,32.72457,11.758,1.382,4596,-0.231,0.094,2.028,0.299,4.47,0.02,8.0601,0.25,9.82,0.9017,chelle
45,10720,20120309,2455995.69966,88.2089,32.724567,11.758,1.382,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,8.0001,0.396,33.97,0.94,hydraN
207,10721,20091127,2455162.79716,5.884217,32.758663,12.489,1.102,5151,-0.038,0.059,3.667,0.18,3.03,0.16,20.481,0.273,10.95,0.9069,chelle
94,10721,20100202,2455229.73269,5.884217,32.758663,12.489,1.102,5151,-0.016,0.056,3.622,0.173,1.06,0.72,21.505,0.254,10.56,0.911,chelle
201,10722,20091127,2455162.79716,5.884072,32.725124,13.354,0.638,6684,-0.067,0.039,4.473,0.12,7.04,0.08,72.562,0.246,11.105,0.9248,chelle
73,10722,20110122,2455583.84217,5.884072,32.725125,13.354,0.638,6684,-0.046,0.037,4.471,0.09,6.65,0.13,72.623,0.19,10.65,0.9372,chelle
93,10723,20100131,2455227.8501,5.887905,32.726776,13.829,0.517,7313,-0.034,0.042,3.131,0.101,26.21,0.07,7.8741,0.899,21.71,0.8639,chelle
202,10723,20110207,2455599.61531,5.887905,32.726775,13.829,0.517,7313,-0.085,0.041,3.122,0.102,30.96,0.07,7.1882,1.289,25.8,0.9037,chelle
85,10903,20080321,2454546.61952,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,84.4163,2.44,46.12,0.52,hydraN
85,10903,20081013,2454752.89494,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,36.5383,4.883,51.01,0.55,hydraN
218,10903,20081108,2454778.78542,5.888032,32.751404,15.006,0.715,6336,-0.651,0.055,3.199,0.097,30.25,0,47.2083,1.424,26.38,0.8887,chelle
45,10903,20090314,2454904.66208,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,81.3445,3.919,47.99,0.72,hydraN
45,10903,20091225,2455190.69799,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-20.66,1.153,48.38,0.77,hydraN
45,10903,20100305,2455260.63893,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-34.8901,0.735,47.52,0.87,hydraN
227,10903,20101119,2455519.80379,5.888032,32.751405,15.006,0.715,6336,-0.511,0.067,3.394,0.104,27,0,-41.053,0.999,23.63,0.8984,chelle
68,10903,20101119,2455519.91915,5.888032,32.751405,15.006,0.715,6336,-0.521,0.067,3.564,0.104,26.44,0.09,-41.266,0.891,23.49,0.9124,chelle
66,10903,20101224,2455554.75388,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-35.1653,1.334,47.37,0.8,hydraN
89,10903,20101225,2455555.74286,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,11.3083,0.849,46.87,0.89,hydraN
38,10903,20101226,2455556.76196,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,86.7618,1.932,46.67,0.84,hydraN
66,10903,20101227,2455557.74916,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,8.4502,0.958,47.26,0.86,hydraN
66,10903,20110218,2455610.69602,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-25.4599,1.19,47.92,0.83,hydraN
45,10903,20110223,2455615.65734,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,41.103,1.655,51.51,0.82,hydraN
66,10903,20110225,2455617.72329,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-26.5337,0.831,50.19,0.86,hydraN
66,10903,20110318,2455638.6426,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-15.6158,1.527,48.16,0.86,hydraN
38,10903,20110319,2455639.66024,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-14.9684,0.921,48.92,0.8,hydraN
38,10903,20120106,2455932.7396,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,35.1628,2.743,50.73,0.75,hydraN
89,10903,20120131,2455957.62683,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-1.0508,1.451,50.08,0.81,hydraN
66,10903,20120201,2455958.76095,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,-18.3211,0.999,51.12,0.86,hydraN
66,10903,20120308,2455994.64976,88.320473,32.7514,15.006,0.715,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,66.6618,3.727,49.15,0.58,hydraN
45,10905,20080222,2454518.59808,88.279297,32.721062,15.239,0.727,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,7.6863,1.802,45.8,0.67,hydraN
23,10905,20080323,2454548.61608,88.279297,32.721062,15.239,0.727,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,8.6505,2.771,44.49,0.68,hydraN
51,10905,20090116,2454847.69614,88.279297,32.721062,15.239,0.727,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,7.626,2.254,38.33,0.3,hydraN
84,10905,20090213,2454875.69127,5.885287,32.721062,15.239,0.727,6285,-0.352,0.057,3.75,0.099,23.24,0.04,6.518,0.984,22.56,0.8974,chelle
39,10905,20121230,2456291.80569,88.279297,32.721062,15.239,0.727,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,8.1486,5.248,47.16,0.44,hydraN
66,10905,20130119,2456311.70071,88.279297,32.721062,15.239,0.727,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,6.8022,1.107,43.91,0.85,hydraN
62,10905,20131223,2456649.75103,88.279297,32.721062,15.239,0.727,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,11.7709,1.223,44.19,0.76,hydraN
85,10905,20140110,2456667.84234,88.279297,32.721062,15.239,0.727,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,11.8797,1.068,44.78,0.82,hydraN
85,10905,20140208,2456696.62424,88.279297,32.721062,15.239,0.727,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,10.9558,0.548,44.99,0.9,hydraN
45,10905,20140216,2456704.76214,88.279297,32.721062,15.239,0.727,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,11.0883,0.908,45.17,0.83,hydraN
85,10905,20140220,2456708.78003,88.279297,32.721062,15.239,0.727,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,10.4804,0.771,47.2,0.89,hydraN
38,10905,20150205,2457058.82018,88.279297,32.721062,15.239,0.727,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,7.1029,0.691,46.46,0.83,hydraN
85,10905,20150209,2457062.82705,88.279297,32.721062,15.239,0.727,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,7.2239,0.925,47.27,0.88,hydraN
66,10905,20150309,2457090.6866,88.279297,32.721062,15.239,0.727,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,7.12,1.237,46.48,0.86,hydraN
